Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.853893617021277,0.7364908510638298,52.0,1.0,0.6619691489361703,0.07452170212765953,0.15103425531914882,0.11247489361702123,0.8617468736589841,0.43519247821074436,0.508570458754222,0.8055601961907054
1,Evolved HMM 5,2.853191489361702,0.7417931914893617,48.0,1.0,0.6921708510638299,0.04962234042553193,0.12931893617021276,0.1288878723404255,0.9976541069842915,0.47872576660434624,0.015569739229489395,0.20351018895151024
2,Evolved ANN 5,2.844755319148937,0.7132655319148936,48.0,1.0,0.696175744680851,0.01708978723404253,0.11724446808510644,0.16949000000000006,1.0,0.7046633378656963,0,0.338366740106222
3,Evolved FSM 16,2.842180851063829,0.7131274468085106,67.0,1.0,0.62204,0.09108744680851064,0.17216872340425535,0.11470382978723406,0.8346678743114345,0.5778539485502977,0.48671285062668773,0.36524907718421096
4,Evolved ANN,2.837617021276596,0.7270265957446809,47.0,1.0,0.7096855319148935,0.017341063829787232,0.10887234042553195,0.1641010638297873,0.9861091925735791,0.8301323119386586,0.4138359503398585,0.05255426668320109
5,Evolved FSM 16 Noise 05,2.8320319148936175,0.7169248936170213,47.0,1.0,0.6954814893617021,0.02144340425531914,0.11567936170212775,0.16739574468085114,0.9815034930548153,0.5637970175191639,0.397992464324844,0.07677966408991603
6,PSO Gambler 2_2_2,2.831904255319149,0.6917163829787234,47.0,1.0,0.6193374468085107,0.0723789361702128,0.16611255319148932,0.1421710638297873,0.8739036148074376,0.40217969435931017,0.49813479935905725,0.40102751284208504
7,PSO Gambler 1_1_1,2.8164680851063832,0.7015112765957446,54.0,1.0,0.6678070212765957,0.033704255319148946,0.12883978723404252,0.16964893617021282,1.0,0.2979444009646941,0,0.1296010467337299
8,PSO Gambler Mem1,2.812148936170213,0.7278625531914894,49.0,1.0,0.6864782978723404,0.041384255319148945,0.12015191489361705,0.15198553191489367,1.0,0.5222264046050525,0,0.1217127667427653
9,Evolved FSM 4,2.803212765957447,0.7765089361702128,40.0,1.0,0.6725425531914894,0.10396638297872338,0.1404453191489362,0.08304574468085107,0.9385982033519586,0.4423285273071842,0,0.7927746157522424
10,"DBS: 0.75, 3, 4, 3, 5",2.7867340425531917,0.7388959574468085,36.0,1.0,0.7108027659574468,0.02809319148936168,0.09814531914893614,0.16295872340425524,0.985292678776067,0.797648842265916,0.2992701328958753,0.1606483318220478
11,"Omega TFT: 3, 8",2.7861382978723404,0.7246948936170213,40.0,1.0,0.7129259574468083,0.011768936170212766,0.09295106382978731,0.1823540425531916,0.999805444737598,0.1759534995710892,0.5838214644563642,0.01148728107802772
12,"DoubleCrosser: (D, D)",2.7682659574468076,0.6774651063829787,181.0,1.0,0.6607689361702125,0.016696170212765954,0.11561872340425541,0.20691617021276615,0.9963360222729001,0.7988368924521158,0.28645735468326766,0
13,PSO Gambler 2_2_2 Noise 05,2.7678936170212767,0.7233929787234042,46.0,1.0,0.6670908510638298,0.0563021276595745,0.12216680851063823,0.15444021276595743,0.853908190643423,0.49914283377540153,0.6997978227643036,0.32135888485691105
14,Gradual,2.765659574468085,0.7928959574468085,41.0,1.0,0.751992340425532,0.04090361702127657,0.07549106382978732,0.13161297872340422,1.0,0.38078053028559994,0.3621919344313524,0.23042381452387828
15,Winner12,2.7653297872340428,0.6821002127659574,49.0,1.0,0.6451955319148935,0.03690468085106383,0.12796468085106383,0.1899351063829788,1.0,0.3647467695651959,0,0.46658626962923255
16,Fool Me Once,2.7560851063829803,0.6242972340425532,61.0,1.0,0.619803829787234,0.0044934042553191516,0.1300976595744681,0.24560510638297878,1.0,0.5796155019835215,0,0
17,"BackStabber: (D, D)",2.7493936170212745,0.6408327659574468,192.0,1.0,0.6326240425531912,0.008208723404255323,0.12287617021276608,0.2362910638297874,0.9967643768711983,0.7886821254696749,0,0
18,Spiteful Tit For Tat,2.7433085106382977,0.6638123404255319,47.0,1.0,0.6314778723404255,0.032334468085106365,0.12812659574468083,0.2080610638297872,1.0,0,0.7121044170170445,0
